phoneme_id,phoneme,word,start,end,mean_attention,max_attention
p001,M,my,0.3586377109537754,0.4258649688155866,0.0043000000000000,0.0044000000000000
p002,AY,my,0.4258649688155866,0.4930922266773978,0.0044428571428571,0.0046000000000000
p003,V,voice,0.5560828123104113,0.6618637145857609,0.0046545454545455,0.0048000000000000
p004,OY,voice,0.6618637145857609,0.7676446168611104,0.0050200000000000,0.0052000000000000
p005,S,voice,0.7676446168611104,0.8734255191364599,0.0051636363636364,0.0056000000000000
p006,IH,is,0.9829746705191429,1.0308028113027339,0.0054000000000000,0.0055000000000000
p007,Z,is,1.0308028113027339,1.0786309520863249,0.0052000000000000,0.0053000000000000
p008,M,my,1.1341839148094075,1.2056469413712128,0.0050285714285714,0.0052000000000000
p009,AY,my,1.2056469413712128,1.2771099679330178,0.0048142857142857,0.0050000000000000
p010,P,password,1.3464700872529876,1.4365311701757690,0.0046444444444444,0.0049000000000000
p011,AE,password,1.4365311701757690,1.5265922530985503,0.0051555555555556,0.0053000000000000
p012,S,password,1.5265922530985503,1.6166533360213315,0.0047222222222222,0.0051000000000000
p013,W,password,1.6166533360213315,1.7067144189441130,0.0050555555555556,0.0054000000000000
p014,ER,password,1.7067144189441130,1.7967755018668945,0.0041666666666667,0.0044000000000000
p015,D,password,1.7967755018668945,1.8868365847896758,0.0041111111111111,0.0045000000000000
