rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,IY,necessity,1.0822,1.1584,108,116,1,0.004063,0.000918,4.5770,1.0338
2,IH,is,1.2498,1.3260,125,133,2,0.003933,0.001101,4.4306,1.2399
3,N,invention,2.6063,2.6635,261,266,4,0.003672,0.000614,4.1361,0.6914
4,AH,of,2.1338,2.2100,213,221,6,0.003605,0.000769,4.0613,0.8657
5,T,necessity,1.0059,1.0822,101,108,1,0.003603,0.000770,4.0590,0.8673
6,N,invention,2.4349,2.4920,243,249,4,0.003598,0.000558,4.0533,0.6286
7,EH,necessity,0.7773,0.8535,78,85,2,0.003597,0.000780,4.0523,0.8790
8,S,necessity,0.8535,0.9297,85,93,2,0.003572,0.000629,4.0234,0.7082
9,AH,the,1.5699,1.6461,157,165,6,0.003528,0.000815,3.9739,0.9183
10,DH,the,1.4937,1.5699,149,157,2,0.003527,0.000678,3.9735,0.7636
11,EH,invention,2.5492,2.6063,255,261,2,0.003515,0.000502,3.9590,0.5653
12,DH,mother,1.8900,1.9662,189,197,2,0.003513,0.000858,3.9568,0.9670
13,IH,invention,2.3777,2.4349,238,243,2,0.003484,0.000695,3.9249,0.7826
14,AH,necessity,0.9297,1.0059,93,101,6,0.003419,0.000596,3.8509,0.6711
15,M,mother,1.7375,1.8138,174,181,1,0.003359,0.000750,3.7838,0.8454
16,V,of,2.2100,2.2862,221,229,2,0.003260,0.000756,3.6721,0.8516
17,V,invention,2.4920,2.5492,249,255,2,0.003257,0.000451,3.6687,0.5080
18,AH,necessity,0.6249,0.7011,62,70,6,0.003255,0.000929,3.6663,1.0469
19,AH,invention,2.7206,2.7778,272,278,6,0.003211,0.000676,3.6171,0.7614
20,Z,is,1.3260,1.4022,133,140,1,0.003204,0.000633,3.6094,0.7127
21,ER,mother,1.9662,2.0424,197,204,1,0.003188,0.000735,3.5916,0.8281
22,S,necessity,0.7011,0.7773,70,78,2,0.003159,0.000623,3.5587,0.7019
23,SH,invention,2.6635,2.7206,266,272,1,0.003143,0.000604,3.5406,0.6808
24,N,invention,2.7778,2.8350,278,283,4,0.003119,0.000630,3.5131,0.7094
25,AH,mother,1.8138,1.8900,181,189,6,0.003113,0.000525,3.5070,0.5919
26,N,necessity,0.5487,0.6249,55,62,4,0.002876,0.000545,3.2396,0.6134
