rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,AH,the,2.1915,2.2979,219,230,6,0.003030,0.000629,4.8067,0.9971
2,S,necessity,1.1915,1.2979,119,130,2,0.002842,0.000259,4.5084,0.4106
3,DH,the,2.0851,2.1915,209,219,2,0.002815,0.000304,4.4657,0.4822
4,AH,of,2.9787,3.0851,298,309,6,0.002771,0.000508,4.3956,0.8064
5,V,of,3.0851,3.1915,309,319,2,0.002732,0.000549,4.3329,0.8707
6,AH,necessity,1.2979,1.4043,130,140,6,0.002721,0.000223,4.3154,0.3541
7,T,necessity,1.4043,1.5106,140,151,1,0.002694,0.000261,4.2730,0.4147
8,EH,necessity,1.0851,1.1915,109,119,2,0.002679,0.000332,4.2493,0.5269
9,ER,mother,2.7447,2.8511,274,285,1,0.002636,0.000374,4.1807,0.5931
10,S,necessity,0.9787,1.0851,98,109,2,0.002579,0.000600,4.0904,0.9512
11,Z,is,1.8511,1.9575,185,196,1,0.002556,0.000332,4.0546,0.5272
12,DH,mother,2.6383,2.7447,264,274,2,0.002485,0.000187,3.9416,0.2961
13,IY,necessity,1.5106,1.6170,151,162,1,0.002458,0.000231,3.8981,0.3670
14,AH,mother,2.5319,2.6383,253,264,6,0.002432,0.000288,3.8578,0.4565
15,M,mother,2.4255,2.5319,243,253,1,0.002412,0.000440,3.8253,0.6972
16,IH,is,1.7447,1.8511,174,185,2,0.002397,0.000271,3.8016,0.4293
17,AH,necessity,0.8723,0.9787,87,98,6,0.002324,0.000403,3.6861,0.6396
18,N,necessity,0.7660,0.8723,77,87,4,0.002304,0.000516,3.6539,0.8177
19,IH,invention,3.3192,3.3989,332,340,2,0.002228,0.000127,3.5343,0.2018
20,N,invention,3.3989,3.4787,340,348,4,0.002145,0.000267,3.4022,0.4229
21,AH,invention,3.7979,3.8777,380,388,6,0.002124,0.000344,3.3682,0.5450
22,N,invention,3.6383,3.7181,364,372,4,0.002010,0.000342,3.1879,0.5426
23,SH,invention,3.7181,3.7979,372,380,1,0.001960,0.000178,3.1089,0.2831
24,N,invention,3.8777,3.9575,388,396,4,0.001938,0.000425,3.0741,0.6735
25,EH,invention,3.5585,3.6383,356,364,2,0.001911,0.000332,3.0312,0.5263
26,V,invention,3.4787,3.5585,348,356,2,0.001864,0.000149,2.9560,0.2370
