rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,S,such,1.4500,1.5370,145,154,1,0.003330,0.000533,5.5520,0.8894
2,OW,no,1.2035,1.3340,120,133,1,0.003048,0.000475,5.0816,0.7919
3,AH,a,2.5810,2.8420,258,284,3,0.003026,0.000535,5.0447,0.8918
4,IH,thing,1.9140,2.0010,191,200,1,0.003008,0.000392,5.0145,0.6531
5,CH,such,1.6240,1.7110,162,171,2,0.002964,0.000266,4.9418,0.4439
6,AH,such,1.5370,1.6240,154,162,3,0.002949,0.000273,4.9153,0.4554
7,N,no,1.0730,1.2035,107,120,2,0.002898,0.000603,4.8317,1.0046
8,TH,thing,1.8270,1.9140,183,191,1,0.002883,0.000290,4.8066,0.4837
9,NG,thing,2.0010,2.0880,200,209,1,0.002876,0.000457,4.7938,0.7620
10,Z,as,2.3345,2.4650,233,246,2,0.002846,0.000603,4.7447,1.0054
11,F,free,2.9580,3.0450,296,304,1,0.002828,0.000404,4.7136,0.6727
12,R,there's,0.8265,0.8918,83,89,2,0.002790,0.000714,4.6502,1.1907
13,Z,there's,0.8918,0.9570,89,96,2,0.002786,0.000630,4.6441,1.0507
14,AE,as,2.2040,2.3345,220,233,1,0.002706,0.000461,4.5106,0.7685
15,IY,free,3.1320,3.2190,313,322,1,0.002552,0.000347,4.2538,0.5784
16,R,free,3.0450,3.1320,304,313,2,0.002481,0.000502,4.1359,0.8367
17,AH,lunch,3.4003,3.4655,340,347,3,0.002418,0.000478,4.0311,0.7963
18,CH,lunch,3.5307,3.5960,353,360,2,0.002385,0.000500,3.9758,0.8341
19,L,lunch,3.3350,3.4003,334,340,1,0.002375,0.000466,3.9597,0.7761
20,N,lunch,3.4655,3.5307,347,353,2,0.002334,0.000413,3.8910,0.6889
21,EH,there's,0.7612,0.8265,76,83,1,0.002283,0.000525,3.8064,0.8759
22,DH,there's,0.6960,0.7612,70,76,1,0.002220,0.000504,3.7010,0.8407
