rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,ER,lawyers,1.2110,1.2954,121,130,1,0.004236,0.000901,5.0000,1.0636
2,IY,only,0.7761,0.8815,78,88,1,0.004220,0.000707,4.9809,0.8348
3,Z,lawyers,1.2954,1.3797,130,138,2,0.004205,0.000601,4.9628,0.7094
4,AO,lawyers,1.0424,1.1267,104,113,1,0.004177,0.000630,4.9306,0.7433
5,L,lawyers,0.9581,1.0424,96,104,4,0.004143,0.000627,4.8901,0.7396
6,L,love,1.4563,1.5266,146,153,4,0.004140,0.000802,4.8865,0.9467
7,IH,millionaires,1.8140,1.8843,181,188,1,0.004134,0.000897,4.8794,1.0592
8,V,love,1.5968,1.6671,160,167,1,0.004118,0.000670,4.8604,0.7905
9,M,millionaires,1.7437,1.8140,174,181,1,0.004093,0.000846,4.8316,0.9991
10,Y,lawyers,1.1267,1.2110,113,121,2,0.004056,0.000912,4.7878,1.0770
11,OW,only,0.4599,0.5653,46,57,1,0.004040,0.000583,4.7687,0.6876
12,AH,love,1.5266,1.5968,153,160,2,0.004031,0.000849,4.7579,1.0027
13,L,only,0.6707,0.7761,67,78,4,0.004008,0.000566,4.7313,0.6681
14,R,millionaires,2.2356,2.3058,224,231,1,0.004003,0.000839,4.7253,0.9908
15,L,millionaires,1.8843,1.9545,188,195,4,0.003918,0.000830,4.6248,0.9801
16,Z,millionaires,2.3058,2.3761,231,238,2,0.003909,0.000837,4.6139,0.9883
17,N,only,0.5653,0.6707,57,67,2,0.003895,0.000638,4.5973,0.7531
18,AH,millionaires,2.0248,2.0950,202,210,2,0.003880,0.000674,4.5793,0.7959
19,Y,millionaires,1.9545,2.0248,195,202,2,0.003860,0.000758,4.5564,0.8951
20,EH,millionaires,2.1653,2.2356,217,224,1,0.003849,0.000747,4.5436,0.8819
21,N,millionaires,2.0950,2.1653,210,217,2,0.003805,0.000809,4.4914,0.9552
