rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,AH,love,1.1873,1.2420,119,124,2,0.005617,0.001242,5.2643,1.1637
2,L,love,1.1327,1.1873,113,119,4,0.005614,0.001269,5.2622,1.1896
3,Z,lawyers,1.0075,1.0731,101,107,2,0.005567,0.001179,5.2176,1.1048
4,V,love,1.2420,1.2966,124,130,1,0.005465,0.001296,5.1219,1.2149
5,Y,lawyers,0.8763,0.9419,88,94,2,0.005299,0.000917,4.9663,0.8597
6,ER,lawyers,0.9419,1.0075,94,101,1,0.005285,0.001231,4.9534,1.1539
7,AO,lawyers,0.8108,0.8763,81,88,1,0.005269,0.000816,4.9389,0.7644
8,IY,only,0.6036,0.6856,60,69,1,0.005133,0.000969,4.8113,0.9086
9,M,millionaires,1.3562,1.4109,136,141,1,0.005083,0.001031,4.7640,0.9664
10,Y,millionaires,1.5202,1.5748,152,157,2,0.005077,0.001211,4.7588,1.1348
11,OW,only,0.3577,0.4397,36,44,1,0.005075,0.000779,4.7569,0.7297
12,AH,millionaires,1.5748,1.6295,157,163,2,0.005050,0.001002,4.7329,0.9388
13,N,only,0.4397,0.5216,44,52,2,0.005032,0.000720,4.7160,0.6752
14,L,millionaires,1.4655,1.5202,147,152,4,0.004960,0.001115,4.6484,1.0449
15,N,millionaires,1.6295,1.6841,163,168,2,0.004942,0.001015,4.6319,0.9509
16,L,lawyers,0.7452,0.8108,75,81,4,0.004908,0.001000,4.5999,0.9376
17,IH,millionaires,1.4109,1.4655,141,147,1,0.004875,0.000944,4.5692,0.8844
18,L,only,0.5216,0.6036,52,60,4,0.004813,0.000516,4.5114,0.4832
19,EH,millionaires,1.6841,1.7388,168,174,1,0.004672,0.001013,4.3789,0.9493
20,R,millionaires,1.7388,1.7934,174,179,1,0.004612,0.000843,4.3225,0.7901
21,Z,millionaires,1.7934,1.8481,179,185,2,0.004346,0.000823,4.0733,0.7713
