recording_id,speaker_id,pcm_path,file_exists
20150222200319965_m0001_10041,m0001,Reddots/pcm/m0001/20150222200319965_m0001_10041.pcm,False
20150129213300223_m0001_10041,m0001,Reddots/pcm/m0001/20150129213300223_m0001_10041.pcm,False
20150624090049705_m0001_10041,m0001,Reddots/pcm/m0001/20150624090049705_m0001_10041.pcm,False
20150616150931660_m0001_10041,m0001,Reddots/pcm/m0001/20150616150931660_m0001_10041.pcm,False
20150203085623332_m0001_10041,m0001,Reddots/pcm/m0001/20150203085623332_m0001_10041.pcm,False
20150306113311462_m0001_10041,m0001,Reddots/pcm/m0001/20150306113311462_m0001_10041.pcm,False
20150811152348231_m0001_10041,m0001,Reddots/pcm/m0001/20150811152348231_m0001_10041.pcm,False
20150730142449667_m0001_10041,m0001,Reddots/pcm/m0001/20150730142449667_m0001_10041.pcm,False
20150328192608286_m0001_10041,m0001,Reddots/pcm/m0001/20150328192608286_m0001_10041.pcm,False
20150321215331082_m0001_10041,m0001,Reddots/pcm/m0001/20150321215331082_m0001_10041.pcm,False
20150212114005291_m0001_10041,m0001,Reddots/pcm/m0001/20150212114005291_m0001_10041.pcm,False
20150302085722656_m0001_10041,m0001,Reddots/pcm/m0001/20150302085722656_m0001_10041.pcm,False
20150510164359162_m0001_10041,m0001,Reddots/pcm/m0001/20150510164359162_m0001_10041.pcm,False
20150405153435908_m0001_10041,m0001,Reddots/pcm/m0001/20150405153435908_m0001_10041.pcm,False
20150416204602453_m0001_10041,m0001,Reddots/pcm/m0001/20150416204602453_m0001_10041.pcm,False
20150607174113616_m0001_10041,m0001,Reddots/pcm/m0001/20150607174113616_m0001_10041.pcm,False
20150207091306644_m0001_10041,m0001,Reddots/pcm/m0001/20150207091306644_m0001_10041.pcm,False
20150803182127404_m0001_10041,m0001,Reddots/pcm/m0001/20150803182127404_m0001_10041.pcm,False
20150411211415646_m0001_10041,m0001,Reddots/pcm/m0001/20150411211415646_m0001_10041.pcm,False
20150617093402557_m0001_10041,m0001,Reddots/pcm/m0001/20150617093402557_m0001_10041.pcm,False
20150212113941829_m0001_10041,m0001,Reddots/pcm/m0001/20150212113941829_m0001_10041.pcm,False
20150424190745900_m0001_10041,m0001,Reddots/pcm/m0001/20150424190745900_m0001_10041.pcm,False
20150705170621408_m0001_10041,m0001,Reddots/pcm/m0001/20150705170621408_m0001_10041.pcm,False
20150525084642292_m0001_10041,m0001,Reddots/pcm/m0001/20150525084642292_m0001_10041.pcm,False
20150721143721624_m0001_10041,m0001,Reddots/pcm/m0001/20150721143721624_m0001_10041.pcm,False
20150425072711442_m0001_10041,m0001,Reddots/pcm/m0001/20150425072711442_m0001_10041.pcm,False
20150313143332193_m0001_10041,m0001,Reddots/pcm/m0001/20150313143332193_m0001_10041.pcm,False
20150212113941096_m0001_10041,m0001,Reddots/pcm/m0001/20150212113941096_m0001_10041.pcm,False
20150517081502145_m0001_10041,m0001,Reddots/pcm/m0001/20150517081502145_m0001_10041.pcm,False
20150504085005224_m0001_10041,m0001,Reddots/pcm/m0001/20150504085005224_m0001_10041.pcm,False
20150212113940363_m0001_10041,m0001,Reddots/pcm/m0001/20150212113940363_m0001_10041.pcm,False
