recording_id,speaker_id,pcm_path,file_exists
20150424190718023_m0001_43,m0001,Reddots/pcm/m0001/20150424190718023_m0001_43.pcm,False
20150203152509585_m0001_43,m0001,Reddots/pcm/m0001/20150203152509585_m0001_43.pcm,False
20150510164355418_m0001_43,m0001,Reddots/pcm/m0001/20150510164355418_m0001_43.pcm,False
20150617093348377_m0001_43,m0001,Reddots/pcm/m0001/20150617093348377_m0001_43.pcm,False
20150207091313336_m0001_43,m0001,Reddots/pcm/m0001/20150207091313336_m0001_43.pcm,False
20150328192622623_m0001_43,m0001,Reddots/pcm/m0001/20150328192622623_m0001_43.pcm,False
20150803182125797_m0001_43,m0001,Reddots/pcm/m0001/20150803182125797_m0001_43.pcm,False
20150222200258187_m0001_43,m0001,Reddots/pcm/m0001/20150222200258187_m0001_43.pcm,False
20150607174117079_m0001_43,m0001,Reddots/pcm/m0001/20150607174117079_m0001_43.pcm,False
20150525084643883_m0001_43,m0001,Reddots/pcm/m0001/20150525084643883_m0001_43.pcm,False
20150624090045103_m0001_43,m0001,Reddots/pcm/m0001/20150624090045103_m0001_43.pcm,False
20150306113306408_m0001_43,m0001,Reddots/pcm/m0001/20150306113306408_m0001_43.pcm,False
20150203085630804_m0001_43,m0001,Reddots/pcm/m0001/20150203085630804_m0001_43.pcm,False
20150321215324764_m0001_43,m0001,Reddots/pcm/m0001/20150321215324764_m0001_43.pcm,False
20150203152510957_m0001_43,m0001,Reddots/pcm/m0001/20150203152510957_m0001_43.pcm,False
20150313143342521_m0001_43,m0001,Reddots/pcm/m0001/20150313143342521_m0001_43.pcm,False
20150517081506684_m0001_43,m0001,Reddots/pcm/m0001/20150517081506684_m0001_43.pcm,False
20150302085723482_m0001_43,m0001,Reddots/pcm/m0001/20150302085723482_m0001_43.pcm,False
20150411211403618_m0001_43,m0001,Reddots/pcm/m0001/20150411211403618_m0001_43.pcm,False
20150129213310410_m0001_43,m0001,Reddots/pcm/m0001/20150129213310410_m0001_43.pcm,False
20150721143717084_m0001_43,m0001,Reddots/pcm/m0001/20150721143717084_m0001_43.pcm,False
20150811152351273_m0001_43,m0001,Reddots/pcm/m0001/20150811152351273_m0001_43.pcm,False
20150504084945631_m0001_43,m0001,Reddots/pcm/m0001/20150504084945631_m0001_43.pcm,False
20150425072649430_m0001_43,m0001,Reddots/pcm/m0001/20150425072649430_m0001_43.pcm,False
20150212114001126_m0001_43,m0001,Reddots/pcm/m0001/20150212114001126_m0001_43.pcm,False
20150416204620970_m0001_43,m0001,Reddots/pcm/m0001/20150416204620970_m0001_43.pcm,False
20150705170628335_m0001_43,m0001,Reddots/pcm/m0001/20150705170628335_m0001_43.pcm,False
20150616150927900_m0001_43,m0001,Reddots/pcm/m0001/20150616150927900_m0001_43.pcm,False
20150405153441337_m0001_43,m0001,Reddots/pcm/m0001/20150405153441337_m0001_43.pcm,False
20150203152510287_m0001_43,m0001,Reddots/pcm/m0001/20150203152510287_m0001_43.pcm,False
20150730142502147_m0001_43,m0001,Reddots/pcm/m0001/20150730142502147_m0001_43.pcm,False
