recording_id,speaker_id,pcm_path,file_exists
20150328192611328_m0001_42,m0001,Reddots/pcm/m0001/20150328192611328_m0001_42.pcm,False
20150517081511427_m0001_42,m0001,Reddots/pcm/m0001/20150517081511427_m0001_42.pcm,False
20150607174110464_m0001_42,m0001,Reddots/pcm/m0001/20150607174110464_m0001_42.pcm,False
20150624090043731_m0001_42,m0001,Reddots/pcm/m0001/20150624090043731_m0001_42.pcm,False
20150306113315050_m0001_42,m0001,Reddots/pcm/m0001/20150306113315050_m0001_42.pcm,False
20150425072705420_m0001_42,m0001,Reddots/pcm/m0001/20150425072705420_m0001_42.pcm,False
20150203152508820_m0001_42,m0001,Reddots/pcm/m0001/20150203152508820_m0001_42.pcm,False
20150411211413540_m0001_42,m0001,Reddots/pcm/m0001/20150411211413540_m0001_42.pcm,False
20150302085716540_m0001_42,m0001,Reddots/pcm/m0001/20150302085716540_m0001_42.pcm,False
20150129213254030_m0001_42,m0001,Reddots/pcm/m0001/20150129213254030_m0001_42.pcm,False
20150525084645615_m0001_42,m0001,Reddots/pcm/m0001/20150525084645615_m0001_42.pcm,False
20150705170532939_m0001_42,m0001,Reddots/pcm/m0001/20150705170532939_m0001_42.pcm,False
20150203152508087_m0001_42,m0001,Reddots/pcm/m0001/20150203152508087_m0001_42.pcm,False
20150405153447421_m0001_42,m0001,Reddots/pcm/m0001/20150405153447421_m0001_42.pcm,False
20150811152348902_m0001_42,m0001,Reddots/pcm/m0001/20150811152348902_m0001_42.pcm,False
20150803182131226_m0001_42,m0001,Reddots/pcm/m0001/20150803182131226_m0001_42.pcm,False
20150504084943431_m0001_42,m0001,Reddots/pcm/m0001/20150504084943431_m0001_42.pcm,False
20150616150918696_m0001_42,m0001,Reddots/pcm/m0001/20150616150918696_m0001_42.pcm,False
20150416204617242_m0001_42,m0001,Reddots/pcm/m0001/20150416204617242_m0001_42.pcm,False
20150721143724260_m0001_42,m0001,Reddots/pcm/m0001/20150721143724260_m0001_42.pcm,False
20150203152507354_m0001_42,m0001,Reddots/pcm/m0001/20150203152507354_m0001_42.pcm,False
20150207091316269_m0001_42,m0001,Reddots/pcm/m0001/20150207091316269_m0001_42.pcm,False
20150321215326714_m0001_42,m0001,Reddots/pcm/m0001/20150321215326714_m0001_42.pcm,False
20150222200319076_m0001_42,m0001,Reddots/pcm/m0001/20150222200319076_m0001_42.pcm,False
20150510164401565_m0001_42,m0001,Reddots/pcm/m0001/20150510164401565_m0001_42.pcm,False
20150424190736197_m0001_42,m0001,Reddots/pcm/m0001/20150424190736197_m0001_42.pcm,False
20150730142503520_m0001_42,m0001,Reddots/pcm/m0001/20150730142503520_m0001_42.pcm,False
20150617093352261_m0001_42,m0001,Reddots/pcm/m0001/20150617093352261_m0001_42.pcm,False
20150203085620243_m0001_42,m0001,Reddots/pcm/m0001/20150203085620243_m0001_42.pcm,False
20150212114002515_m0001_42,m0001,Reddots/pcm/m0001/20150212114002515_m0001_42.pcm,False
20150313143344455_m0001_42,m0001,Reddots/pcm/m0001/20150313143344455_m0001_42.pcm,False
