phoneme_id,phoneme,word,start,end,mean_attention,std_attention,max_attention
p001,M,my,0.3586377109537754,0.4258649688155866,0.004320288031504505,0.0009946242806042542,0.006213375966261159
p002,AY,my,0.4258649688155866,0.4930922266773978,0.0045641206476283655,0.0010873136939414537,0.007087800287814728
p003,V,voice,0.5560828123104113,0.6618637145857609,0.004682738251386242,0.0009264562768342987,0.005964267336319316
p004,OY,voice,0.6618637145857609,0.7676446168611104,0.005025377147019589,0.0008901084974558323,0.006568891359231359
p005,S,voice,0.7676446168611104,0.8734255191364599,0.005099698426683375,0.000986814696752112,0.006882989232766714
p006,IH,is,0.9829746705191429,1.0308028113027339,0.005200534751112409,0.0009846925663380879,0.0075211565476208855
p007,Z,is,1.0308028113027339,1.0786309520863249,0.004898087635222734,0.0007936470160400967,0.007184859929697254
p008,M,my,1.1341839148094075,1.2056469413712128,0.004803735902953917,0.0006905483980880474,0.006313353484232283
p009,AY,my,1.2056469413712128,1.2771099679330178,0.004759004773189591,0.0007001971053658625,0.006128483927358125
p010,P,password,1.3464700872529876,1.436531170175769,0.0047334900805305015,0.0006980257366034455,0.0065806922803987615
p011,AE,password,1.436531170175769,1.5265922530985503,0.0050854526530895216,0.0007086405677341728,0.006312630439149574
p012,S,password,1.5265922530985503,1.6166533360213315,0.004814503869802592,0.0007949350244253342,0.006693212931026416
p013,W,password,1.6166533360213315,1.706714418944113,0.004360515890917823,0.000607045552376738,0.005904242583525469
p014,ER,password,1.706714418944113,1.7967755018668945,0.004024386094346425,0.0006752941328865486,0.005617583499164711
p015,D,password,1.7967755018668945,1.8868365847896758,0.003927894666492106,0.0008165396938716463,0.006217972138752175
