rank,phoneme,word,occurrence,start,end,start_frame,end_frame,mean_attention,std_attention,attention_pct,attention_pct_std
1,S,voice,2,0.7767,0.8800,78,88,0.006661,0.000962,8.42,1.22
2,OY,voice,1,0.6733,0.7767,67,78,0.006597,0.000992,8.34,1.25
3,V,voice,1,0.5700,0.6733,57,67,0.006293,0.000771,7.95,0.97
5,Z,is,1,1.0350,1.0800,104,108,0.005844,0.001094,7.39,1.38
6,IH,is,1,0.9900,1.0350,99,104,0.005578,0.001102,7.05,1.39
7,M,my,2,0.3700,0.4350,37,44,0.005499,0.001151,7.01,1.46
7,M,my,2,1.1400,1.2100,114,121,0.005543,0.001069,7.01,1.35
9,AY,my,2,0.4350,0.5000,44,50,0.005960,0.000930,6.39,1.18
9,AY,my,2,1.2100,1.2800,121,128,0.005058,0.000936,6.39,1.18
10,P,password,1,1.3500,1.4383,135,144,0.004720,0.000773,5.97,0.98
11,AE,password,1,1.4383,1.5267,144,153,0.004381,0.000494,5.54,0.62
12,S,password,2,1.5267,1.6150,153,162,0.004292,0.000664,5.42,0.84
13,D,password,1,1.7917,1.8800,179,188,0.004288,0.000981,5.42,1.24
14,ER,password,1,1.7033,1.7917,170,179,0.004208,0.000949,5.32,1.20
15,W,password,1,1.6150,1.7033,162,170,0.004194,0.000844,5.30,1.07
