phoneme_id,phoneme,word,start,end,mean_attention,std_attention,max_attention
p001,M,my,0.37,0.435,0.005499009935424922,0.0011512188288069281,0.008537379813530758
p002,AY,my,0.435,0.5,0.005960295661891964,0.0009296485183168462,0.008748344939679109
p003,V,voice,0.57,0.6733333333333333,0.006292638773023505,0.0007710172964791038,0.007436111609644398
p004,OY,voice,0.6733333333333333,0.7766666666666666,0.006596518739035802,0.0009919208292632111,0.010358381024720392
p005,S,voice,0.7766666666666666,0.88,0.006661498075412953,0.0009616393713701486,0.009367128419432807
p006,IH,is,0.99,1.0350000000000001,0.005578194897254936,0.0011016557185024318,0.007719792034262161
p007,Z,is,1.0350000000000001,1.08,0.005843616691334512,0.0010942843603085671,0.008446565676504146
p008,M,my,1.14,1.21,0.005543089736150791,0.0010693529953228304,0.007780150858344894
p009,AY,my,1.21,1.28,0.005057860470714169,0.0009364536237919943,0.006806264264301813
p010,P,password,1.35,1.4383333333333335,0.0047195281691868865,0.0007729442309316818,0.006572697475116945
p011,AE,password,1.4383333333333335,1.5266666666666666,0.004380519229080654,0.0004939188788975547,0.0054531595040159305
p012,S,password,1.5266666666666666,1.615,0.004291972736523839,0.0006640013532941467,0.005928367376327515
p013,W,password,1.615,1.7033333333333334,0.004194433683932382,0.0008437026337728804,0.00602946808384431
p014,ER,password,1.7033333333333334,1.7916666666666665,0.004208471950385432,0.00094876410992905,0.006295120343565941
p015,D,password,1.7916666666666665,1.88,0.004287877089558603,0.0009811537960618235,0.006295120343565941
