phoneme_id,phoneme,word,start,end,mean_attention,std_attention,max_attention
p001,M,my,1.094672907952837,1.1702789680296029,0.0027397724253739562,0.0005816066157914473,0.0037712533225273148
p002,AY,my,1.1702789680296029,1.2458850281063685,0.0032791756710948555,0.00042617207762076626,0.003944490170175944
p003,V,voice,1.3131979871817974,1.4171094837388263,0.003171194361769242,0.0006537230618750821,0.004367651258953648
p004,OY,voice,1.4171094837388263,1.521020980295855,0.0032444950028050518,0.00060329176272674,0.004150887004518774
p005,S,voice,1.521020980295855,1.624932476852884,0.0028591368414311747,0.000272822328943675,0.0032051698773738983
p006,IH,is,1.8500201695916059,1.8922479972698207,0.0025328283140214447,0.0004544076376679939,0.003076468024842867
p007,Z,is,1.8922479972698207,1.9344758249480354,0.0032320204627861795,0.0007160657671590915,0.004521861327244923
p008,M,my,1.998130851337361,2.0804757470082977,0.0030370865886166503,0.000359166453573316,0.0034901948801506263
p009,AY,my,2.0804757470082977,2.1628206426792342,0.0036243704888651133,0.00031803059720938916,0.004019081392111526
p010,P,password,2.257188189965307,2.3532777984394615,0.0028408868814906677,0.00016263702499897493,0.0030413236509507086
p011,AE,password,2.3532777984394615,2.449367406913616,0.002744785857586021,0.00030948204098627885,0.003291094991591595
p012,S,password,2.449367406913616,2.545457015387771,0.0029287749459281608,0.0003749044672033939,0.0036731355770164694
p013,W,password,2.545457015387771,2.6415466238619256,0.0030600599923854485,0.0005462222058466667,0.003899896902752575
p014,ER,password,2.6415466238619256,2.7376362323360803,0.002022493706878214,0.0004116104718796253,0.002857088421184856
p015,D,password,2.7376362323360803,2.833725840810235,0.0026076070268357325,0.0004817380602472354,0.0035051716391681703
