rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,AE,and,3.5122,3.6077,351,361,2,0.002559,0.000450,3.9281,0.6912
2,D,birthday,1.2481,1.3627,125,136,2,0.002414,0.000251,3.7067,0.3858
3,AH,cupcakes,2.8705,2.9524,287,295,1,0.002402,0.000439,3.6871,0.6746
4,R,parties,1.8189,1.9144,182,191,2,0.002360,0.000354,3.6235,0.5435
5,EY,cupcakes,3.1160,3.1978,312,320,2,0.002355,0.000527,3.6160,0.8090
6,K,cupcakes,3.0342,3.1160,303,312,4,0.002353,0.000236,3.6127,0.3623
7,Z,parties,2.1053,2.2008,211,220,1,0.002330,0.000302,3.5774,0.4634
8,P,parties,1.6280,1.7235,163,172,2,0.002329,0.000300,3.5753,0.4612
9,S,cupcakes,3.2797,3.3615,328,336,2,0.002283,0.000513,3.5056,0.7880
10,EY,birthday,1.3627,1.4773,136,148,2,0.002264,0.000088,3.4754,0.1348
11,N,and,3.6077,3.7032,361,370,1,0.002247,0.000369,3.4492,0.5666
12,T,parties,1.9144,2.0099,191,201,1,0.002241,0.000343,3.4408,0.5273
13,TH,birthday,1.1336,1.2481,113,125,1,0.002212,0.000348,3.3952,0.5337
14,AA,parties,1.7235,1.8189,172,182,1,0.002205,0.000296,3.3855,0.4544
15,P,cupcakes,2.9524,3.0342,295,303,2,0.002187,0.000302,3.3582,0.4637
16,K,cupcakes,2.7887,2.8705,279,287,4,0.002178,0.000250,3.3437,0.3833
17,AE,have,2.4470,2.5425,245,254,2,0.002168,0.000393,3.3284,0.6030
18,IY,parties,2.0099,2.1053,201,211,2,0.002155,0.000256,3.3091,0.3935
19,K,cupcakes,3.1978,3.2797,320,328,4,0.002109,0.000558,3.2373,0.8568
20,HH,have,2.3515,2.4470,235,245,1,0.002102,0.000172,3.2272,0.2635
21,ER,birthday,1.0190,1.1336,102,113,1,0.002057,0.000430,3.1575,0.6606
22,D,and,3.7032,3.7986,370,380,2,0.002045,0.000354,3.1394,0.5435
23,S,ice,4.0926,4.2358,409,424,2,0.002041,0.000366,3.1329,0.5622
24,M,cream,4.6013,4.6729,460,467,1,0.002017,0.000644,3.0963,0.9883
25,K,cream,4.3865,4.4581,439,446,4,0.002013,0.000537,3.0903,0.8238
26,IY,cream,4.5297,4.6013,453,460,2,0.002004,0.000615,3.0766,0.9440
27,V,have,2.5425,2.6380,254,264,1,0.001962,0.000321,3.0117,0.4923
28,R,cream,4.4581,4.5297,446,453,2,0.001901,0.000673,2.9184,1.0329
29,B,birthday,0.9044,1.0190,90,102,1,0.001858,0.000373,2.8526,0.5734
30,AY,ice,3.9494,4.0926,395,409,1,0.001786,0.000256,2.7416,0.3932
