rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,AA,pot,1.3868,1.4869,139,149,2,0.004361,0.000643,7.4639,1.1000
2,AA,watched,0.9757,1.0508,98,105,2,0.004272,0.001088,7.3111,1.8625
3,P,pot,1.2867,1.3868,129,139,1,0.004064,0.000753,6.9550,1.2892
4,T,pot,1.4869,1.5869,149,159,2,0.004056,0.000544,6.9413,0.9311
5,CH,watched,1.0508,1.1259,105,113,1,0.003893,0.000679,6.6629,1.1614
6,T,watched,1.1259,1.2009,113,120,2,0.003825,0.000954,6.5455,1.6333
7,ER,never,2.1231,2.2732,212,227,1,0.003793,0.000572,6.4914,0.9783
8,W,watched,0.9007,0.9757,90,98,1,0.003702,0.000702,6.3363,1.2009
9,EH,never,1.8228,1.9729,182,197,1,0.003690,0.000366,6.3152,0.6256
10,N,never,1.6727,1.8228,167,182,1,0.003679,0.000452,6.2960,0.7737
11,V,never,1.9729,2.1231,197,212,1,0.003450,0.000332,5.9051,0.5690
12,AH,a,0.5147,0.8149,51,81,1,0.003346,0.000613,5.7272,1.0490
13,B,boils,2.3590,2.4340,236,243,1,0.003200,0.000898,5.4771,1.5368
14,OY,boils,2.4340,2.5091,243,251,1,0.003178,0.000758,5.4393,1.2972
15,L,boils,2.5091,2.5841,251,258,1,0.003079,0.000815,5.2691,1.3947
16,Z,boils,2.5841,2.6592,258,266,1,0.002842,0.000409,4.8634,0.6995
